,Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
0,Context Manager ใน Python ใช้สำหรับอะไร?,"('จัดการทรัพยากร เช่น การเปิด/ปิดไฟล์', 1)","('จัดการข้อผิดพลาดในโค้ด', 0)","('เพิ่มฟังก์ชันให้กับฟังก์ชันอื่นๆ', 0)","('สร้าง class ที่มีฟังก์ชันพิเศษ', 0)",Context Managers,Medium
1,Context Manager ใช้ในการจัดการทรัพยากรประเภทใด?,"('ไฟล์', 0.25)","('ฐานข้อมูล', 0.25)","('Network connections', 0.25)","('ทุกข้อ', 1)",Context Managers,Easy
2,Context Manager คืออะไร?,"('คลาสที่ใช้สำหรับการจัดการทรัพยากร', 0.5)","('ฟังก์ชันที่ใช้สำหรับการจัดการทรัพยากร', 0.25)","('วิธีการเขียนโค้ดที่ดี', 0)","('ไม่มีความหมาย', 0)",Context Managers,Medium
3,Context Manager ทำงานอย่างไร?,"('จัดการทรัพยากรเมื่อมีการเรียกใช้งาน', 0.25)","('จัดการทรัพยากรเมื่อมีการปิดโปรแกรม', 0.25)","('จัดการทรัพยากรเมื่อมีการเปิดและปิด', 0.5)","('ไม่มีการจัดการทรัพยากร', 0)",Context Managers,Hard
4,การสร้าง Context Manager สามารถทำได้โดยการใช้คำสั่งใด?,"('with statement', 1)","('try-finally block', 0.25)","('class with __enter__ and __exit__ methods', 0.5)","('generator function', 0)",Context Managers,Medium
5,การใช้งาน Context Manager ร่วมกับไฟล์ใน Python ทำอย่างไร?,"(""ใช้ with open('filename','mode') as file:"", 1)","(""ใช้ file = open('filename','mode')"", 0)","(""ใช้ file = fopen('filename','mode')"", 0)","('ไม่สามารถทำได้', 0)",Context Managers,Easy
6,Context Manager ใน Python สามารถใช้งานร่วมกับทรัพยากรอะไรบ้าง?,"('ไฟล์, ฐานข้อมูล, โซเชียลเน็ตเวิร์ค', 1)","('เว็บเซอร์วิส, API, เครือข่าย', 0.5)","('ฮาร์ดแวร์, ซอฟต์แวร์, OS', 0)","('อุปกรณ์มือถือ, คอมพิวเตอร์, แท็บเล็ต', 0)",Context Managers,Medium
7,การใช้งาน Context Manager ใน Python สามารถทำได้โดยการใช้คำสั่งอะไร?,"('with statement', 1)","('try-except block', 0)","('for loop', 0)","('while loop', 0)",Context Managers,Easy
8,การใช้งาน Context Manager มีข้อดีอย่างไร?,"('สามารถจัดการทรัพยากรได้อย่างมีประสิทธิภาพ', 0.5)","('สามารถลดความซับซ้อนของโค้ด', 0.25)","('สามารถเพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",Context Managers,Medium
9,Context Manager ใน Python มีความสำคัญอย่างไร?,"('ช่วยจัดการทรัพยากรและลดความซับซ้อนของโค้ด', 1)","('ช่วยเพิ่มความเร็วในการทำงานของโปรแกรม', 0)","('ช่วยลดขนาดของโค้ด', 0)","('ไม่มีความสำคัญ', 0)",Context Managers,Medium
10,"ในภาษา Python, keyword 'pass' ใช้เพื่ออะไร?","('ทำคำสั่งที่กำหนด', 0)","('ไม่ทำอะไรและข้ามไปที่คำสั่งต่อไป', 1)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",Control Flow,Easy
11,"ในภาษา Python, การใช้ while loop มีความหมายว่าอะไร?","('การวนซ้ำคำสั่งจนกว่าเงื่อนไขจะเป็นเท็จ', 1)","('การทำงานกับลิสต์หรือเซ็ต', 0)","('การทำงานกับค่าที่ไม่แน่นอน', 0)","('การทำงานกับฟังก์ชัน', 0)",Control Flow,Medium
12,"ในภาษา Python, การใช้ for loop มีความหมายว่าอะไร?","('การวนซ้ำคำสั่ง', 0.5)","('การทำงานกับลิสต์หรือเซ็ต', 1)","('การทำงานกับค่าที่ไม่แน่นอน', 0)","('การทำงานกับฟังก์ชัน', 0)",Control Flow,Easy
13,"ในภาษา Python, คำสั่ง break ใช้เพื่ออะไร?","('ออกจาก loop ทันที', 1)","('ไปที่คำสั่งต่อไป', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",Control Flow,Medium
14,"ในภาษา Python, การใช้ try-except-finally มีความหมายว่าอะไร?","('จัดการกับข้อผิดพลาดที่เกิดขึ้น', 1)","('ทำคำสั่งที่กำหนด', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",Control Flow,Hard
15,"ในภาษา Python, keyword'return' ใช้เพื่ออะไร?","('ส่งคืนค่าจากฟังก์ชัน', 1)","('ทำคำสั่งที่กำหนด', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",Control Flow,Hard
16,"ในภาษา Python, การใช้ elif มีความหมายว่าอะไร?","('ตรวจสอบเงื่อนไขเพิ่มเติมหลังจาก if', 1)","('ตรวจสอบเงื่อนไขหลังจาก else', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",Control Flow,Medium
17,"ในภาษา Python, การใช้ else ใน statement if-else ทำหน้าที่อะไร?","('ทำคำสั่งเมื่อเงื่อนไขเป็นจริง', 0)","('ทำคำสั่งเมื่อเงื่อนไขเป็นเท็จ', 1)","('ทำคำสั่งเมื่อเงื่อนไขไม่แน่นอน', 0)","('ไม่มีผลต่อการทำงานของโปรแกรม', 0)",Control Flow,Medium
18,"ในภาษา Python, คำสั่ง assert ใช้สำหรับอะไร?","('การตรวจสอบเงื่อนไข', 0.75)","('การทำงานร่วมกัน', 0)","('การวนซ้ำ', 0)","('การจัดการข้อมูล', 0)",Control Flow,Hard
19,"ในภาษา Python, keyword 'continue' ใช้เพื่ออะไร?","('ออกจาก loop ทันที', 0)","('ไปที่คำสั่งต่อไป', 0)","('วนซ้ำคำสั่งใน loop', 1)","('หยุดการทำงานของโปรแกรม', 0)",Control Flow,Medium
20,"ในภาษา Python, คำสั่ง try-except ใช้สำหรับอะไร?","('การจัดการข้อผิดพลาด', 0.75)","('การทำงานร่วมกัน', 0)","('การวนซ้ำ', 0)","('การจัดการข้อมูล', 0)",Control Flow,Hard
21,"ในภาษา Python, คำสั่ง raise ใช้สำหรับอะไร?","('การสร้างข้อผิดพลาด', 0.75)","('การทำงานร่วมกัน', 0)","('การวนซ้ำ', 0)","('การจัดการข้อมูล', 0)",Control Flow,Hard
22,"ในภาษา Python, คำสั่ง if ใช้สำหรับอะไร?","('การวนซ้ำ', 0)","('การตัดสินใจ', 0.75)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Easy
23,"ในภาษา Python, คำสั่ง elif ใช้สำหรับอะไร?","('การตัดสินใจหลายครั้ง', 0.5)","('การวนซ้ำ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
24,"ในภาษา Python, คำสั่ง for ใช้สำหรับอะไร?","('การวนซ้ำ', 0.75)","('การตัดสินใจ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Easy
25,"ในภาษา Python, คำสั่ง while ใช้สำหรับอะไร?","('การวนซ้ำ', 0.75)","('การตัดสินใจ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
26,การใช้ if-else ในภาษา Python มีวัตถุประสงค์เพื่ออะไร?,"('ตรวจสอบเงื่อนไขที่กำหนด', 0.25)","('ทำซ้ำคำสั่งหลายครั้ง', 0)","('เลือกทำคำสั่งที่เหมาะสมตามเงื่อนไข', 1)","('รับข้อมูลจากผู้ใช้', 0)",Control Flow,Easy
27,"ในภาษา Python, คำสั่ง break ใช้สำหรับอะไร?","('การหยุดการวนซ้ำ', 0.75)","('การเริ่มต้นใหม่', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
28,"ในภาษา Python, คำสั่ง continue ใช้สำหรับอะไร?","('การวนซ้ำต่อไป', 0.75)","('การหยุดการวนซ้ำ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
29,"ในภาษา Python, คำสั่ง pass ใช้สำหรับอะไร?","('การทำอะไรไม่ได้', 0.75)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)","('การวนซ้ำ', 0)",Control Flow,Easy
30,การสร้าง decorator ใน Python จำเป็นต้องใช้คำสั่งอะไร?,"('@symbol', 1)","('def keyword', 0)","('class keyword', 0)","('import statement', 0)",Decorators,Medium
31,Decorator ใช้ในการทำอะไร?,"('เพิ่มฟังก์ชันให้กับฟังก์ชันอื่น', 0.5)","('ลดความซับซ้อนของโค้ด', 0.25)","('เพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",Decorators,Easy
32,การใช้งาน Decorator มีข้อดีอย่างไร?,"('สามารถเพิ่มฟังก์ชันให้กับฟังก์ชันอื่น', 0.5)","('สามารถลดความซับซ้อนของโค้ด', 0.25)","('สามารถเพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",Decorators,Medium
33,การสร้าง decorator ที่มีการ return ค่าใน Python ทำอย่างไร?,"('ใช้ return statement ภายใน decorator', 1)","('ใช้ yield statement ภายใน decorator', 0)","('ไม่สามารถทำได้', 0)","('ใช้ print statement ภายใน decorator', 0)",Decorators,Medium
34,ฟังก์ชันใดที่ใช้ในการสร้าง Decorator?,"('functools.wraps()', 0.25)","(' functools.update_wrapper()', 0)","(' functools.register()', 0)","('None of the above', 1)",Decorators,Easy
35,ต้องการใช้ฟังก์ชันใดในการสร้าง decorator ในภาษา Python?,"('@classmethod', 0.25)","('@staticmethod', 0.25)","('@property', 0.25)","('@decorator', 1)",Decorators,Easy
36,Decorator ที่ถูกสร้างขึ้นจากฟังก์ชันใด?,"('function', 0.5)","('class', 0.25)","('generator', 0)","('None of the above', 1)",Decorators,Medium
37,การสร้าง decorator ที่มีการตรวจสอบข้อผิดพลาดใน Python ทำอย่างไร?,"('ใช้ try-except block ภายใน decorator', 1)","('ใช้ if-else statement ภายใน decorator', 0)","('ใช้ loop ภายใน decorator', 0)","('ไม่สามารถทำได้', 0)",Decorators,Hard
38,การสร้าง decorator ที่รับ argument ใน Python ทำอย่างไร?,"('ใช้ฟังก์ชันที่รับค่า argument แล้วคืนค่าฟังก์ชัน', 1)","('ใช้ class ที่มีฟังก์ชันพิเศษ', 0)","('ใช้ lambda function', 0)","('ใช้ generator function', 0)",Decorators,Hard
39,ตัวอย่างโค้ด Python ด้านล่างนี้ทำอะไร?,"('สร้าง decorator ที่เพิ่มฟังก์ชัน', 1)","('สร้าง context manager ที่จัดการทรัพยากร', 0)","('สร้าง class ที่มีฟังก์ชันพิเศษ', 0)","('สร้าง module ที่มีฟังก์ชันหลายๆ ตัว', 0)",Decorators,Easy
40,วิธีการลบข้อมูลใน dictionary คือ?,"('del()', 1)","('remove()', 0.75)","('pop()', 0.5)","('clear()', 0)",Dictionaries,Medium
41,วิธีการเข้าถึงค่าใน Dictionary คือ?,"('ผ่าน key', 1)","('ผ่าน index', 0)","('ผ่าน value', 0)","('ไม่สามารถเข้าถึงได้', 0)",Dictionaries,Easy
42,การลบ key และ value ออกจาก Dictionary ใช้คำสั่งใด?,"('del()', 0.75)","('pop()', 0.25)","('remove()', 0)","('delete()', 0)",Dictionaries,Medium
43,วิธีการตรวจสอบว่า key มีอยู่ใน Dictionary หรือไม่ คือ?,"('if key in dict:', 1)","('if key == dict:', 0)","('if key not in dict:', 0)","('if key!= dict:', 0)",Dictionaries,Medium
44,การเพิ่มค่าใหม่ลงใน Dictionary ใช้วิธีการใด?,"('dict[key] = value', 1)","('dict.add(key, value)', 0)","('dict.append(key, value)', 0)","('dict.insert(key, value)', 0)",Dictionaries,Easy
45,วิธีการคัดลอก Dictionary คือ?,"('dict.copy()', 0.75)","('dict.clone()', 0)","('dict dup()', 0)","('dict = old_dict', 0.25)",Dictionaries,Medium
46,การเรียงลำดับ key ใน Dictionary ใช้คำสั่งใด?,"('sorted(dict.keys())', 1)","('dict.sort()', 0)","('dict.order()', 0)","('dictArrange()', 0)",Dictionaries,Hard
