Question,Choice,Topic,Level
Context Manager คืออะไร?,"[{'text': 'คลาสพิเศษที่ช่วยจัดการทรัพยากรใน Python', 'weight': 1}, {'text': 'ฟังก์ชันที่ใช้เพื่อจัดการทรัพยากร', 'weight': 0.25}, {'text': 'โมดูลที่ใช้เพื่อจัดการทรัพยากร', 'weight': 0}, {'text': 'ไม่มีความหมายใดๆ', 'weight': 0}]",Context Manager,Easy
วัตถุประสงค์ของ Context Manager คืออะไร?,"[{'text': 'เพื่อจัดการทรัพยากร เช่น การเปิด/ปิดไฟล์ หรือการเชื่อมต่อฐานข้อมูล', 'weight': 1}, {'text': 'เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 'weight': 0}, {'text': 'เพื่อลดขนาดของโค้ด', 'weight': 0}, {'text': 'เพื่อเพิ่มความปลอดภัยในการเขียนโปรแกรม', 'weight': 0.25}]",Context Manager,Medium
ตัวอย่างการใช้งาน Context Manager คืออะไร?,"[{'text': ""with open('file.txt', 'r') as file:"", 'weight': 1}, {'text': ""file = open('file.txt', 'r')"", 'weight': 0.25}, {'text': 'import contextmanager', 'weight': 0}, {'text': 'from contextlib import contextmanager', 'weight': 0.5}]",Context Manager,Medium
Context Manager สามารถใช้กับทรัพยากรใดบ้าง?,"[{'text': 'ไฟล์, ฐานข้อมูล, โซคเก็ต, ล็อก', 'weight': 1}, {'text': 'ไฟล์, ฐานข้อมูล', 'weight': 0.5}, {'text': 'ล็อก, โซคเก็ต', 'weight': 0.25}, {'text': 'ไม่สามารถใช้กับทรัพยากรใดๆ', 'weight': 0}]",Context Manager,Medium
การทำงานของ Context Manager มีขั้นตอนใดบ้าง?,"[{'text': '__enter__ และ __exit__', 'weight': 1}, {'text': '__init__ และ __del__', 'weight': 0.25}, {'text': '__str__ และ __repr__', 'weight': 0}, {'text': '__add__ และ __sub__', 'weight': 0}]",Context Manager,Hard
ความสำคัญของ Context Manager คืออะไร?,"[{'text': 'ช่วยลดความซับซ้อนในการจัดการทรัพยากร', 'weight': 1}, {'text': 'ช่วยเพิ่มความเร็วในการทำงานของโปรแกรม', 'weight': 0}, {'text': 'ช่วยลดขนาดของโค้ด', 'weight': 0}, {'text': 'ช่วยเพิ่มความปลอดภัยในการเขียนโปรแกรม', 'weight': 0.25}]",Context Manager,Medium
การใช้งาน Context Manager มีข้อจำกัดใดบ้าง?,"[{'text': 'ไม่สามารถใช้กับทรัพยากรที่ไม่สนับสนุน', 'weight': 1}, {'text': 'สามารถใช้กับทุกทรัพยากร', 'weight': 0}, {'text': 'ไม่สามารถใช้กับทรัพยากรที่มีขนาดใหญ่', 'weight': 0.25}, {'text': 'ไม่สามารถใช้กับทรัพยากรที่มีความซับซ้อน', 'weight': 0.5}]",Context Manager,Hard
Context Manager สามารถใช้ร่วมกับทรัพยากรใดบ้าง?,"[{'text': 'ไฟล์, ฐานข้อมูล, โซคเก็ต, ล็อก', 'weight': 1}, {'text': 'ไฟล์, ฐานข้อมูล', 'weight': 0.5}, {'text': 'ล็อก, โซคเก็ต', 'weight': 0.25}, {'text': 'ไม่สามารถใช้ร่วมกับทรัพยากรใดๆ', 'weight': 0}]",Context Manager,Medium
Context Manager มีประโยชน์อย่างไร?,"[{'text': 'ช่วยลดความซับซ้อนในการจัดการทรัพยากร', 'weight': 1}, {'text': 'ช่วยเพิ่มความเร็วในการทำงานของโปรแกรม', 'weight': 0}, {'text': 'ช่วยลดขนาดของโค้ด', 'weight': 0}, {'text': 'ไม่มีประโยชน์ใดๆ', 'weight': 0}]",Context Manager,Easy
ต้องการใช้ Decorator เพื่อเพิ่มฟังก์ชันให้กับฟังก์ชันอื่นๆ ใน Python ควรใช้คำสั่งอะไร?,"[{'text': '@decorator_name', 'weight': 1}, {'text': 'def decorator_name:', 'weight': 0}, {'text': 'import decorator_name', 'weight': 0}, {'text': 'from decorator import *', 'weight': 0}]",การใช้งานเบื้องต้นของ Decorator,Easy
