,Question,Choice,Topic,Level
0,ตัวแก้ไข (Decorator) ในภาษา Python ใช้สำหรับอะไร?,"[{'text': 'เพิ่มฟังก์ชันให้กับฟังก์ชันอื่น', 'weight': 1}, {'text': 'ลดฟังก์ชันออกจากฟังก์ชันอื่น', 'weight': 0}, {'text': 'สร้างคลาสใหม่', 'weight': 0}, {'text': 'ลบฟังก์ชันทิ้ง', 'weight': 0}]",Decorators,Easy
1,วิธีการเขียนตัวแก้ไข (Decorator) ใน Python คือ?,"[{'text': '@my_decorator', 'weight': 1}, {'text': 'my_decorator()', 'weight': 0}, {'text': 'def my_decorator:', 'weight': 0}, {'text': 'class my_decorator:', 'weight': 0}]",Decorators,Medium
2,Context Manager ใน Python ใช้สำหรับอะไร?,"[{'text': 'การจัดการทรัพยากรที่จำเป็นต้องปิดหรือปล่อยเมื่อใช้งานเสร็จ', 'weight': 1}, {'text': 'การสร้างฟังก์ชันใหม่', 'weight': 0}, {'text': 'การสร้างคลาสใหม่', 'weight': 0}, {'text': 'การลบทรัพยากรทิ้ง', 'weight': 0}]",Context Managers,Easy
3,คำสั่งไหนใน Python ที่ใช้สร้าง Context Manager?,"[{'text': 'with', 'weight': 1}, {'text': 'try', 'weight': 0}, {'text': 'except', 'weight': 0}, {'text': 'finally', 'weight': 0}]",Context Managers,Medium
4,ความแตกต่างระหว่าง Decorator และ Context Manager คือ?,"[{'text': 'Decorator ใช้เพิ่มฟังก์ชันให้กับฟังก์ชันอื่น ในขณะที่ Context Manager ใช้ในการจัดการทรัพยากร', 'weight': 1}, {'text': 'Decorator ใช้ในการจัดการทรัพยากร ในขณะที่ Context Manager ใช้เพิ่มฟังก์ชันให้กับฟังก์ชันอื่น', 'weight': 0}, {'text': 'Decorator และ Context Manager ไม่มีความแตกต่าง', 'weight': 0}, {'text': 'Decorator ใช้สร้างคลาสใหม่ ในขณะที่ Context Manager ใช้สร้างฟังก์ชันใหม่', 'weight': 0}]",Decorators and Context Managers,Hard
5,ตัวอย่างการใช้ Decorator ใน Python คือ?,"[{'text': 'การตรวจสอบการเข้าถึงฟังก์ชัน', 'weight': 1}, {'text': 'การสร้างฟังก์ชันใหม่', 'weight': 0}, {'text': 'การลบฟังก์ชันทิ้ง', 'weight': 0}, {'text': 'การสร้างคลาสใหม่', 'weight': 0}]",Decorators,Medium
6,ตัวอย่างการใช้ Context Manager ใน Python คือ?,"[{'text': 'การเปิดและปิดไฟล์', 'weight': 1}, {'text': 'การสร้างฟังก์ชันใหม่', 'weight': 0}, {'text': 'การลบไฟล์ทิ้ง', 'weight': 0}, {'text': 'การสร้างคลาสใหม่', 'weight': 0}]",Context Managers,Medium
7,ประโยชน์ของการใช้ Decorator ใน Python คือ?,"[{'text': 'สามารถเพิ่มฟังก์ชันให้กับฟังก์ชันอื่นได้โดยไม่ต้องแก้ไขโค้ดของฟังก์ชันนั้น', 'weight': 1}, {'text': 'สามารถลดฟังก์ชันออกจากฟังก์ชันอื่นได้', 'weight': 0}, {'text': 'สามารถสร้างคลาสใหม่ได้', 'weight': 0}, {'text': 'สามารถลบฟังก์ชันทิ้งได้', 'weight': 0}]",Decorators,Easy
8,ประโยชน์ของการใช้ Context Manager ใน Python คือ?,"[{'text': 'สามารถจัดการทรัพยากรที่จำเป็นต้องปิดหรือปล่อยเมื่อใช้งานเสร็จได้อย่างมีประสิทธิภาพ', 'weight': 1}, {'text': 'สามารถสร้างฟังก์ชันใหม่ได้', 'weight': 0}, {'text': 'สามารถสร้างคลาสใหม่ได้', 'weight': 0}, {'text': 'สามารถลบทรัพยากรทิ้งได้', 'weight': 0}]",Context Managers,Easy
9,การสร้าง list ใน Python สามารถทำได้โดยการใช้เครื่องหมายใด?,"[{'text': '()', 'weight': 0}, {'text': '[]', 'weight': 1}, {'text': '{}', 'weight': 0}, {'text': '<>', 'weight': 0}]",List,Easy
10,วิธีการเพิ่มข้อมูลใน list คือ?,"[{'text': '.append()', 'weight': 1}, {'text': '.insert()', 'weight': 0.5}, {'text': '.remove()', 'weight': 0}, {'text': '.pop()', 'weight': 0}]",List,Easy
11,คำสั่งใดใช้สำหรับการลบข้อมูลใน list?,"[{'text': '.append()', 'weight': 0}, {'text': '.remove()', 'weight': 1}, {'text': '.insert()', 'weight': 0}, {'text': '.pop()', 'weight': 0.5}]",List,Easy
12,การสร้าง dictionary ใน Python สามารถทำได้โดยการใช้เครื่องหมายใด?,"[{'text': '[]', 'weight': 0}, {'text': '()', 'weight': 0}, {'text': '{}', 'weight': 1}, {'text': '<>', 'weight': 0}]",Dictionary,Easy
13,วิธีการเพิ่มข้อมูลใน dictionary คือ?,"[{'text': '.update()', 'weight': 1}, {'text': '.append()', 'weight': 0}, {'text': '.insert()', 'weight': 0}, {'text': '.remove()', 'weight': 0}]",Dictionary,Medium
14,คำสั่งใดใช้สำหรับการลบข้อมูลใน dictionary?,"[{'text': '.update()', 'weight': 0}, {'text': '.pop()', 'weight': 1}, {'text': '.append()', 'weight': 0}, {'text': '.insert()', 'weight': 0}]",Dictionary,Medium
15,การสร้าง set ใน Python สามารถทำได้โดยการใช้เครื่องหมายใด?,"[{'text': '[]', 'weight': 0}, {'text': '()', 'weight': 0}, {'text': 'set()', 'weight': 1}, {'text': '<>', 'weight': 0}]",Set,Easy
16,วิธีการเพิ่มข้อมูลใน set คือ?,"[{'text': '.update()', 'weight': 1}, {'text': '.add()', 'weight': 0.5}, {'text': '.append()', 'weight': 0}, {'text': '.insert()', 'weight': 0}]",Set,Medium
