Question,Level,Choice
โค้ดต่อไปนี้จะพิมพ์ผลลัพธ์เป็นอะไร?,Intermediate,"[{'text': 'Hello, World!', 'weight': 0}, {'text': 'Hello', 'weight': 0.5}, {'text': 'Hello, ', 'weight': 0.25}, {'text': 'Hello, World', 'weight': 1}]"
ฟังก์ชันใดใน Python ที่ใช้สำหรับการแปลงข้อความเป็นตัวพิมพ์ใหญ่?,Intermediate,"[{'text': 'lower()', 'weight': 0}, {'text': 'title()', 'weight': 0.5}, {'text': 'swapcase()', 'weight': 0.25}, {'text': 'upper()', 'weight': 1}]"
วิธีการใดที่ถูกต้องในการสร้าง dictionary ใน Python?,Intermediate,"[{'text': ""my_dict = {'name': 'John', 'age': 30}"", 'weight': 1}, {'text': ""my_dict = ('name': 'John', 'age': 30)"", 'weight': 0}, {'text': ""my_dict = dict('name': 'John', 'age': 30)"", 'weight': 0.25}, {'text': ""my_dict = list('name': 'John', 'age': 30)"", 'weight': 0}]"
การทำงานของ loop for ใน Python คืออะไร?,Intermediate,"[{'text': 'วนซ้ำๆกับจำนวนครั้งที่กำหนด', 'weight': 1}, {'text': 'วนซ้ำๆจนกว่าเงื่อนไขจะเป็น false', 'weight': 0.5}, {'text': 'วนซ้ำๆผ่าน element ของ list', 'weight': 0.25}, {'text': 'วนซ้ำๆผ่าน index ของ list', 'weight': 0}]"
โค้ดต่อไปนี้จะพิมพ์ผลลัพธ์เป็นอะไร?,Intermediate,"[{'text': '6', 'weight': 0.25}, {'text': '5', 'weight': 0}, {'text': '7', 'weight': 1}, {'text': '4', 'weight': 0}]"
โค้ดต่อไปนี้จะพิมพ์ผลลัพธ์เป็นอะไร?,Intermediate,"[{'text': 'Hello, World!', 'weight': 0}, {'text': 'Hello', 'weight': 0.5}, {'text': 'Hello, ', 'weight': 0.25}, {'text': 'Hello, World', 'weight': 1}]"
ฟังก์ชันใดใน Python ที่ใช้สำหรับการแปลงข้อความเป็นตัวพิมพ์ใหญ่?,Intermediate,"[{'text': 'lower()', 'weight': 0}, {'text': 'title()', 'weight': 0.5}, {'text': 'swapcase()', 'weight': 0.25}, {'text': 'upper()', 'weight': 1}]"
วิธีการใดที่ถูกต้องในการสร้าง dictionary ใน Python?,Intermediate,"[{'text': ""my_dict = {'name': 'John', 'age': 30}"", 'weight': 1}, {'text': ""my_dict = ('name': 'John', 'age': 30)"", 'weight': 0}, {'text': ""my_dict = dict('name': 'John', 'age': 30)"", 'weight': 0.25}, {'text': ""my_dict = list('name': 'John', 'age': 30)"", 'weight': 0}]"
การทำงานของ loop for ใน Python คืออะไร?,Intermediate,"[{'text': 'วนซ้ำๆกับจำนวนครั้งที่กำหนด', 'weight': 1}, {'text': 'วนซ้ำๆจนกว่าเงื่อนไขจะเป็น false', 'weight': 0.5}, {'text': 'วนซ้ำๆผ่าน element ของ list', 'weight': 0.25}, {'text': 'วนซ้ำๆผ่าน index ของ list', 'weight': 0}]"
โค้ดต่อไปนี้จะพิมพ์ผลลัพธ์เป็นอะไร?,Intermediate,"[{'text': '6', 'weight': 0.25}, {'text': '5', 'weight': 0}, {'text': '7', 'weight': 1}, {'text': '4', 'weight': 0}]"
การเขียนโค้ด Python ด้านล่างนี้จะทำอะไร?,Intermediate,"[{'text': 'เรียงลำดับ list จากน้อยไปมาก', 'weight': 0}, {'text': 'คัดลอก list ใหม่', 'weight': 0.25}, {'text': 'แก้ไข list เดิม', 'weight': 1}, {'text': 'ลบ element ที่ไม่ต้องการ', 'weight': 0}]"
ฟังก์ชันใดใน Python ใช้สำหรับการเปิดไฟล์?,Intermediate,"[{'text': 'file()', 'weight': 0}, {'text': 'open()', 'weight': 1}, {'text': 'read()', 'weight': 0.25}, {'text': 'write()', 'weight': 0}]"
