Question,Level,Choice
ภาษา Python เป็นภาษาที่มีความสามารถในการทำงานได้หลากหลาย เช่น การสร้างเว็บไซต์ การวิเคราะห์ข้อมูล และการสร้าง AI แต่ภาษา Python ไม่สามารถทำอะไรได้บ้าง?,Medium,"[{'text': 'การสร้างเกม', 'weight': 0.25}, {'text': 'การเขียนระบบปฏิบัติการ', 'weight': 0.5}, {'text': 'การทำงานกับฮาร์ดแวร์', 'weight': 0.75}, {'text': 'การประมวลผลภาพ', 'weight': 1}]"
คุณต้องการสร้างโปรแกรมนับจำนวนคำในไฟล์ข้อความ คุณควรใช้วิธีการใดในการอ่านไฟล์ข้อความ?,Hard,"[{'text': 'ใช้ฟังก์ชัน read() ของโมดูล sys', 'weight': 0.25}, {'text': 'ใช้ฟังก์ชัน open() และ readlines()', 'weight': 0.5}, {'text': 'ใช้ฟังก์ชัน read() ของโมดูล os', 'weight': 0.75}, {'text': 'ใช้ฟังก์ชัน load() ของโมดูล json', 'weight': 1}]"
"การเขียนโปรแกรมภาษา Python สามารถทำได้หลายรูปแบบ เช่น การเขียนแบบ Interactive, Scripting และการเขียนโปรแกรมแบบ Object-Oriented ซึ่งรูปแบบใดที่ถูกต้องและเหมาะสมที่สุด?",Medium,"[{'text': 'การเขียนแบบ Interactive', 'weight': 0.25}, {'text': 'การเขียนแบบ Scripting', 'weight': 0.5}, {'text': 'การเขียนแบบ Object-Oriented', 'weight': 0.75}, {'text': 'ขึ้นอยู่กับความต้องการของผู้พัฒนา', 'weight': 1}]"
ในภาษา Python มีการจัดการกับข้อมูลที่ไม่สมบูรณ์หรือข้อมูลที่มีข้อผิดพลาดอย่างไร?,Hard,"[{'text': 'โดยการใช้คำสั่ง try-except เพื่อจัดการกับข้อผิดพลาด', 'weight': 0.25}, {'text': 'โดยการใช้คำสั่ง if-else เพื่อตรวจสอบความถูกต้องของข้อมูล', 'weight': 0.5}, {'text': 'โดยการใช้ฟังก์ชัน len() เพื่อตรวจสอบความยาวของข้อมูล', 'weight': 0.75}, {'text': 'ไม่มีการจัดการกับข้อมูลที่ไม่สมบูรณ์ในภาษา Python', 'weight': 1}]"
การเขียนโปรแกรมภาษา Python จำเป็นต้องมีการระบุประเภทข้อมูล (Data Type) ของตัวแปรหรือไม่?,Medium,"[{'text': 'ไม่จำเป็น', 'weight': 0.25}, {'text': 'บางครั้ง', 'weight': 0.5}, {'text': 'จำเป็น', 'weight': 1}, {'text': 'ขึ้นอยู่กับบริบท', 'weight': 0.75}]"
เมื่อเรียกใช้งานฟังก์ชัน (Function) ในภาษา Python จะต้องระบุค่าเริ่มต้น (Default Value) ให้กับพารามิเตอร์ทุกตัวหรือไม่?,Hard,"[{'text': 'ไม่จำเป็น', 'weight': 0.25}, {'text': 'บางครั้ง', 'weight': 0.5}, {'text': 'จำเป็น', 'weight': 1}, {'text': 'ขึ้นอยู่กับบริบท', 'weight': 0.75}]"
การเขียนโปรแกรมภาษา Python จำเป็นต้องมีการระบุประเภทข้อมูล (Data Type) ของตัวแปรหรือไม่?,Medium,"[{'text': 'ไม่จำเป็น', 'weight': 0.25}, {'text': 'บางกรณี', 'weight': 0.5}, {'text': 'จำเป็นทุกกรณี', 'weight': 0.75}, {'text': 'ขึ้นอยู่กับความซับซ้อนของโปรแกรม', 'weight': 1}]"
การทำงานของ Python จะเริ่มจากบรรทัดแรกของโค้ดและทำงานไปเรื่อยๆ หรือไม่?,Hard,"[{'text': 'ใช่', 'weight': 0.25}, {'text': 'ไม่เสมอไป', 'weight': 0.5}, {'text': 'ขึ้นอยู่กับการกำหนดฟังก์ชัน', 'weight': 0.75}, {'text': 'ขึ้นอยู่กับการเรียกใช้งานโมดูล', 'weight': 1}]"
ภาษา Python เป็นภาษาที่มีความสามารถในการทำงานแบบใดบ้าง?,Medium,"[{'text': 'การประมวลผลข้อมูลทางวิทยาศาสตร์', 'weight': 0.25}, {'text': 'การพัฒนาเว็บไซต์และแอปพลิเคชัน', 'weight': 0.5}, {'text': 'การจัดการฐานข้อมูลและการวิเคราะห์ข้อมูล', 'weight': 0.75}, {'text': 'ทุกอย่างข้างต้น', 'weight': 1}]"
คุณสมบัติเด่นของภาษา Python คืออะไร?,Hard,"[{'text': 'ความเร็วในการประมวลผล', 'weight': 0.25}, {'text': 'ความง่ายในการเขียนโค้ดและอ่านโค้ด', 'weight': 0.5}, {'text': 'ความสามารถในการทำงานร่วมกับภาษาอื่น ๆ', 'weight': 0.75}, {'text': 'ความปลอดภัยในการประมวลผลข้อมูล', 'weight': 1}]"
