,Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
0,Context Manager ใน Python ใช้สำหรับอะไร?,"('จัดการทรัพยากร เช่น การเปิด/ปิดไฟล์', 1)","('จัดการข้อผิดพลาดในโค้ด', 0)","('เพิ่มฟังก์ชันให้กับฟังก์ชันอื่นๆ', 0)","('สร้าง class ที่มีฟังก์ชันพิเศษ', 0)",Context Managers,Medium
1,Context Manager ใช้ในการจัดการทรัพยากรประเภทใด?,"('ไฟล์', 0.25)","('ฐานข้อมูล', 0.25)","('Network connections', 0.25)","('ทุกข้อ', 1)",Context Managers,Easy
2,การสร้าง Context Manager สามารถทำได้โดยการใช้คำสั่งใด?,"('with statement', 1)","('try-finally block', 0.25)","('class with __enter__ and __exit__ methods', 0.5)","('generator function', 0)",Context Managers,Medium
3,Context Manager ใน Python สามารถใช้งานร่วมกับทรัพยากรอะไรบ้าง?,"('ไฟล์, ฐานข้อมูล, โซเชียลเน็ตเวิร์ค', 1)","('เว็บเซอร์วิส, API, เครือข่าย', 0.5)","('ฮาร์ดแวร์, ซอฟต์แวร์, OS', 0)","('อุปกรณ์มือถือ, คอมพิวเตอร์, แท็บเล็ต', 0)",Context Managers,Medium
4,การใช้งาน Context Manager ร่วมกับไฟล์ใน Python ทำอย่างไร?,"(""ใช้ with open('filename','mode') as file:"", 1)","(""ใช้ file = open('filename','mode')"", 0)","(""ใช้ file = fopen('filename','mode')"", 0)","('ไม่สามารถทำได้', 0)",Context Managers,Easy
5,Context Manager ใน Python มีความสำคัญอย่างไร?,"('ช่วยจัดการทรัพยากรและลดความซับซ้อนของโค้ด', 1)","('ช่วยเพิ่มความเร็วในการทำงานของโปรแกรม', 0)","('ช่วยลดขนาดของโค้ด', 0)","('ไม่มีความสำคัญ', 0)",Context Managers,Medium
6,การใช้งาน Context Manager มีข้อดีอย่างไร?,"('สามารถจัดการทรัพยากรได้อย่างมีประสิทธิภาพ', 0.5)","('สามารถลดความซับซ้อนของโค้ด', 0.25)","('สามารถเพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",Context Managers,Medium
7,"ในภาษา Python, คำสั่ง assert ใช้สำหรับอะไร?","('การตรวจสอบเงื่อนไข', 0.75)","('การทำงานร่วมกัน', 0)","('การวนซ้ำ', 0)","('การจัดการข้อมูล', 0)",Control Flow,Hard
8,"ในภาษา Python, คำสั่ง raise ใช้สำหรับอะไร?","('การสร้างข้อผิดพลาด', 0.75)","('การทำงานร่วมกัน', 0)","('การวนซ้ำ', 0)","('การจัดการข้อมูล', 0)",Control Flow,Hard
9,"ในภาษา Python, คำสั่ง try-except ใช้สำหรับอะไร?","('การจัดการข้อผิดพลาด', 0.75)","('การทำงานร่วมกัน', 0)","('การวนซ้ำ', 0)","('การจัดการข้อมูล', 0)",Control Flow,Hard
10,"ในภาษา Python, คำสั่ง while ใช้สำหรับอะไร?","('การวนซ้ำ', 0.75)","('การตัดสินใจ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
11,"ในภาษา Python, คำสั่ง for ใช้สำหรับอะไร?","('การวนซ้ำ', 0.75)","('การตัดสินใจ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Easy
12,"ในภาษา Python, คำสั่ง elif ใช้สำหรับอะไร?","('การตัดสินใจหลายครั้ง', 0.5)","('การวนซ้ำ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
13,"ในภาษา Python, คำสั่ง if ใช้สำหรับอะไร?","('การวนซ้ำ', 0)","('การตัดสินใจ', 0.75)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Easy
14,"ในภาษา Python, คำสั่ง break ใช้สำหรับอะไร?","('การหยุดการวนซ้ำ', 0.75)","('การเริ่มต้นใหม่', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
15,"ในภาษา Python, การใช้ for loop มีความหมายว่าอะไร?","('การวนซ้ำคำสั่ง', 0.5)","('การทำงานกับลิสต์หรือเซ็ต', 1)","('การทำงานกับค่าที่ไม่แน่นอน', 0)","('การทำงานกับฟังก์ชัน', 0)",ControlFlow,Easy
16,"ในภาษา Python, การใช้ try-except-finally มีความหมายว่าอะไร?","('จัดการกับข้อผิดพลาดที่เกิดขึ้น', 1)","('ทำคำสั่งที่กำหนด', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Hard
17,"ในภาษา Python, คำสั่ง break ใช้เพื่ออะไร?","('ออกจาก loop ทันที', 1)","('ไปที่คำสั่งต่อไป', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Medium
18,"ในภาษา Python, keyword 'return' ใช้เพื่ออะไร?","('ส่งคืนค่าจากฟังก์ชัน', 1)","('ทำคำสั่งที่กำหนด', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Hard
19,"ในภาษา Python, การใช้ elif มีความหมายว่าอะไร?","('ตรวจสอบเงื่อนไขเพิ่มเติมหลังจาก if', 1)","('ตรวจสอบเงื่อนไขหลังจาก else', 0)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Medium
20,"ในภาษา Python, การใช้ while loop มีความหมายว่าอะไร?","('การวนซ้ำคำสั่งจนกว่าเงื่อนไขจะเป็นเท็จ', 1)","('การทำงานกับลิสต์หรือเซ็ต', 0)","('การทำงานกับค่าที่ไม่แน่นอน', 0)","('การทำงานกับฟังก์ชัน', 0)",ControlFlow,Medium
21,"ในภาษา Python, keyword 'pass' ใช้เพื่ออะไร?","('ทำคำสั่งที่กำหนด', 0)","('ไม่ทำอะไรและข้ามไปที่คำสั่งต่อไป', 1)","('วนซ้ำคำสั่ง', 0)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Easy
22,"ในภาษา Python, keyword 'continue' ใช้เพื่ออะไร?","('ออกจาก loop ทันที', 0)","('ไปที่คำสั่งต่อไป', 0)","('วนซ้ำคำสั่งใน loop', 1)","('หยุดการทำงานของโปรแกรม', 0)",ControlFlow,Medium
23,การใช้ if-else ในภาษา Python มีวัตถุประสงค์เพื่ออะไร?,"('ตรวจสอบเงื่อนไขที่กำหนด', 0.25)","('ทำซ้ำคำสั่งหลายครั้ง', 0)","('เลือกทำคำสั่งที่เหมาะสมตามเงื่อนไข', 1)","('รับข้อมูลจากผู้ใช้', 0)",ControlFlow,Easy
24,การใช้งาน Decorator มีข้อดีอย่างไร?,"('สามารถเพิ่มฟังก์ชันให้กับฟังก์ชันอื่น', 0.5)","('สามารถลดความซับซ้อนของโค้ด', 0.25)","('สามารถเพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",Decorators,Medium
25,ฟังก์ชันใดที่ใช้ในการสร้าง Decorator?,"('functools.wraps()', 0.25)","(' functools.update_wrapper()', 0)","(' functools.register()', 0)","('None of the above', 1)",Decorators,Easy
26,การสร้าง decorator ที่มีการตรวจสอบข้อผิดพลาดใน Python ทำอย่างไร?,"('ใช้ try-except block ภายใน decorator', 1)","('ใช้ if-else statement ภายใน decorator', 0)","('ใช้ loop ภายใน decorator', 0)","('ไม่สามารถทำได้', 0)",Decorators,Hard
27,การสร้าง decorator ที่รับ argument ใน Python ทำอย่างไร?,"('ใช้ฟังก์ชันที่รับค่า argument แล้วคืนค่าฟังก์ชัน', 1)","('ใช้ class ที่มีฟังก์ชันพิเศษ', 0)","('ใช้ lambda function', 0)","('ใช้ generator function', 0)",Decorators,Hard
28,วิธีการเข้าถึงค่าใน Dictionary คือ?,"('ผ่าน key', 1)","('ผ่าน index', 0)","('ผ่าน value', 0)","('ไม่สามารถเข้าถึงได้', 0)",Dictionaries,Easy
29,การลบ key และ value ออกจาก Dictionary ใช้คำสั่งใด?,"('del()', 0.75)","('pop()', 0.25)","('remove()', 0)","('delete()', 0)",Dictionaries,Medium
30,วิธีการตรวจสอบว่า key มีอยู่ใน Dictionary หรือไม่ คือ?,"('if key in dict:', 1)","('if key == dict:', 0)","('if key not in dict:', 0)","('if key!= dict:', 0)",Dictionaries,Medium
31,วิธีการคัดลอก Dictionary คือ?,"('dict.copy()', 0.75)","('dict.clone()', 0)","('dict dup()', 0)","('dict = old_dict', 0.25)",Dictionaries,Medium
32,การเรียงลำดับ key ใน Dictionary ใช้คำสั่งใด?,"('sorted(dict.keys())', 1)","('dict.sort()', 0)","('dict.order()', 0)","('dictArrange()', 0)",Dictionaries,Hard
33,การรวม Dictionary สองอันเข้าด้วยกันใช้วิธีการใด?,"('dict.update(other_dict)', 0.75)","('dict + other_dict', 0)","('dict.merge(other_dict)', 0)","('dict.join(other_dict)', 0)",Dictionaries,Medium
34,วิธีการเพิ่มข้อมูลใน dictionary คือ?,"('append()', 0)","('update()', 0.75)","('insert()', 0.5)","('add()', 0)",Dictionaries,Medium
35,การค้นหาค่าที่น้อยที่สุดใน Dictionary ใช้วิธีการใด?,"('min(dict.values())', 1)","('dict.min()', 0)","('dict.minimum()', 0)","('dictlowest()', 0)",Dictionaries,Hard
36,การเพิ่ม key-value pair เข้าไปใน dictionary ของภาษา Python สามารถทำได้โดยใช้วิธีใด?,"('โดยใช้ assignment', 1)","('โดยใช้ update', 0.75)","('โดยใช้ setdefault', 0.5)","('ไม่สามารถเพิ่มได้', 0)",Dictionaries,Medium
37,วิธีการเข้าถึง value ที่อยู่ใน dictionary ของภาษา Python คือ?,"('โดยใช้ key', 1)","('โดยใช้ index', 0.25)","('โดยใช้ value', 0.5)","('ไม่สามารถเข้าถึงได้', 0)",Dictionaries,Easy
38,คำสั่งใดใน Python ที่ใช้เพื่อสร้าง Dictionary?,"('dict()', 0.75)","('list()', 0)","('tuple()', 0)","('set()', 0)",Dictionaries,Easy
39,การสร้าง dictionary ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0)","('[]', 0.5)","('{}', 1)","('.', 0)",Dictionaries,Easy
40,การเข้าถึงค่าใน dictionary สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('[]', 1)","('()', 0)","('{}', 0.5)","('.', 0)",Dictionaries,Easy
41,วิธีการลบข้อมูลใน dictionary คือ?,"('del()', 1)","('remove()', 0.75)","('pop()', 0.5)","('clear()', 0)",Dictionaries,Medium
42,การค้นหาค่าที่มากที่สุดใน Dictionary ใช้วิธีการใด?,"('max(dict.values())', 1)","('dict.max()', 0)","('dict.maximum()', 0)","('dicthighest()', 0)",Dictionaries,Hard
43,การลบ key-value pair ออกจาก dictionary ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('del', 1)","('pop', 0.75)","('clear', 0.5)","('remove', 0)",Dictionaries,Medium
44,ในการทำ Error Handling ใน Python ควรใช้คำสั่ง try...except อย่างไร?,"('โดยไม่ระบุชนิดของข้อผิดพลาด', 0)","('โดยระบุชนิดของข้อผิดพลาด', 1)","('โดยไม่มีคำสั่ง else', 0.5)","('โดยไม่มีคำสั่ง finally', 0)",ErrorHandling,Hard
45,การใช้คำสั่ง try...finally ใน Python มีความสำคัญอย่างไร?,"('เพื่อจัดการกับข้อมูลที่เป็น sensitive data', 0.5)","('เพื่อป้องกันการรั่วไหลของข้อมูล', 0.5)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Hard
46,ในภาษา Python การจัดการกับข้อผิดพลาด (ErrorHandling) สามารถทำได้โดยใช้คำสั่งใด?,"('try...except', 1)","('if...else', 0)","('for...loop', 0)","('while...loop', 0)",ErrorHandling,Easy
47,ใน Python คำสั่ง raise ถูกใช้เพื่ออะไร?,"('เพื่อสร้างข้อผิดพลาดใหม่', 1)","('เพื่อจัดการกับข้อผิดพลาดที่เกิดขึ้น', 0.5)","('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)",ErrorHandling,Medium
