Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
ตัวอย่างโค้ด Python ด้านล่างนี้ทำอะไร?,"('สร้าง decorator ที่เพิ่มฟังก์ชัน', 1)","('สร้าง context manager ที่จัดการทรัพยากร', 0)","('สร้าง class ที่มีฟังก์ชันพิเศษ', 0)","('สร้าง module ที่มีฟังก์ชันหลายๆ ตัว', 0)",Decorators,Easy
Context Manager ใน Python ใช้สำหรับอะไร?,"('จัดการทรัพยากร เช่น การเปิด/ปิดไฟล์', 1)","('จัดการข้อผิดพลาดในโค้ด', 0)","('เพิ่มฟังก์ชันให้กับฟังก์ชันอื่นๆ', 0)","('สร้าง class ที่มีฟังก์ชันพิเศษ', 0)",Context Managers,Medium
การสร้าง decorator ใน Python จำเป็นต้องใช้คำสั่งอะไร?,"('@symbol', 1)","('def keyword', 0)","('class keyword', 0)","('import statement', 0)",Decorators,Medium
การใช้งาน Context Manager ใน Python สามารถทำได้โดยการใช้คำสั่งอะไร?,"('with statement', 1)","('try-except block', 0)","('for loop', 0)","('while loop', 0)",Context Managers,Easy
การสร้าง decorator ที่รับ argument ใน Python ทำอย่างไร?,"('ใช้ฟังก์ชันที่รับค่า argument แล้วคืนค่าฟังก์ชัน', 1)","('ใช้ class ที่มีฟังก์ชันพิเศษ', 0)","('ใช้ lambda function', 0)","('ใช้ generator function', 0)",Decorators,Hard
Context Manager ใน Python สามารถใช้งานร่วมกับทรัพยากรอะไรบ้าง?,"('ไฟล์, ฐานข้อมูล, โซเชียลเน็ตเวิร์ค', 1)","('เว็บเซอร์วิส, API, เครือข่าย', 0.5)","('ฮาร์ดแวร์, ซอฟต์แวร์, OS', 0)","('อุปกรณ์มือถือ, คอมพิวเตอร์, แท็บเล็ต', 0)",Context Managers,Medium
การสร้าง decorator ที่มีการตรวจสอบข้อผิดพลาดใน Python ทำอย่างไร?,"('ใช้ try-except block ภายใน decorator', 1)","('ใช้ if-else statement ภายใน decorator', 0)","('ใช้ loop ภายใน decorator', 0)","('ไม่สามารถทำได้', 0)",Decorators,Hard
การใช้งาน Context Manager ร่วมกับไฟล์ใน Python ทำอย่างไร?,"(""ใช้ with open('filename','mode') as file:"", 1)","(""ใช้ file = open('filename','mode')"", 0)","(""ใช้ file = fopen('filename','mode')"", 0)","('ไม่สามารถทำได้', 0)",Context Managers,Easy
การสร้าง decorator ที่มีการ return ค่าใน Python ทำอย่างไร?,"('ใช้ return statement ภายใน decorator', 1)","('ใช้ yield statement ภายใน decorator', 0)","('ไม่สามารถทำได้', 0)","('ใช้ print statement ภายใน decorator', 0)",Decorators,Medium
Context Manager ใน Python มีความสำคัญอย่างไร?,"('ช่วยจัดการทรัพยากรและลดความซับซ้อนของโค้ด', 1)","('ช่วยเพิ่มความเร็วในการทำงานของโปรแกรม', 0)","('ช่วยลดขนาดของโค้ด', 0)","('ไม่มีความสำคัญ', 0)",Context Managers,Medium
